Abdominal Pain,Aggression,Anemia,Bleeding Disorders,Blistering,Blood in Urine,Bloody Stool,Chest Pain,Congested Lungs,Corneal Edema,Coughing,Crusting,Crusty Skin,Dandruff,Dark Waxy Ear Wax,Dehydration,Depression,Diarrhea,Difficulty Breathing,Difficulty Swallowing,Drooling,Ear Discharge,Ear Odor,Enlarged Lymph Nodes,Exercise Intolerance,Eye Discharge,Fainting,Fatigue,Fever,Forceful Cough,Foul Odor,Gagging,Hair Loss,Hair Loss Around Ears,Head Shaking,Hydrophobia,Inflammation,Intense Itching,Itching,Jaundice,Joint Pain,Joint Swelling,Lack of Coordination,Lameness,Lethargy,Loss of Appetite,Mild Pruritus,Muscle Pain,Muscle Spasms,Nasal Discharge,Nosebleeds,Pain,Pale Gums,Paralysis,Pot-bellied Appearance,Pus Discharge,Pus Formation,Red Bumps,Red Spots,Red Urine,Redness,Reproductive Issues,Restlessness,Runny Nose,Scabs in Ear Canal,Scaling,Scooting,Scratching,Secondary Bacterial Infections,Secondary Infections,Seizures,Sensitivity to Light,Severe Itching,Skin Irritation,Skin Rash,Skin Thickening,Sneezing,Sores,Sores from Scratching,Stiffness,Swelling,Swollen Abdomen,Swollen Joints,Swollen Limbs,Swollen Lymph Nodes,Tender Abdomen,Thick Crusts,Thick Substance in Eyes,Thickened Skin,Tissue Damage,Visible Fleas on Fur,Visible Ticks on Skin,Visible Worms in Stool,Vomiting,Watery Diarrhea,Weakness,Weight Loss,Early_Stage,Late_Stage,Severity,Priority,Illness,Confidence
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1.4,Canine Coronavirus,0.85
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,3,1.8,Canine Distemper,0.88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1.5,Canine Herpesvirus,0.85
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.8,Canine Influenza,0.9
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1.5,Kennel Cough,0.9
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1.3,Canine Parvovirus,0.9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1.4,Rabies,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1.5,Canine Minute Virus,0.85
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1.8,Infectious Canine Hepatitis,0.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1.4,Pseudorabies,0.95
