Illness,Symptom,Stage,Weight,Severity,Priority,Age Range,Breed,Size,Confidence
Canine Coronavirus,Anorexia,Any Stage,1.0,Medium,1.6,Any,Any,Any,0.85
Canine Coronavirus,Bloody Diarrhea,Any Stage,0.85,High,1.8,Any,Any,Any,0.85
Canine Coronavirus,Dehydration,Late,0.85,High,1.7,Any,Any,Any,0.85
Canine Coronavirus,Depression,Any Stage,0.7,Low,1.3,Any,Any,Any,0.85
Canine Coronavirus,Diarrhea,Any Stage,1.0,Medium,1.6,Any,Any,Any,0.85
Canine Coronavirus,Foul-Smelling Stool,Any Stage,0.7,Low,1.3,Any,Any,Any,0.85
Canine Coronavirus,Lethargy,Any Stage,0.8,Medium,1.5,Any,Any,Any,0.85
Canine Coronavirus,Loss of Appetite,Any Stage,0.8,Medium,1.5,Any,Any,Any,0.85
Canine Coronavirus,Mucus in Stool,Any Stage,0.4,Low,1.2,Any,Any,Any,0.85
Canine Coronavirus,Orange-Tinted Stool,Any Stage,0.3,Low,1.1,Any,Any,Any,0.85
Canine Coronavirus,Sudden Diarrhea,Early,0.85,Medium,1.6,Any,Any,Any,0.85
Canine Coronavirus,Vomiting,Any Stage,0.8,Medium,1.5,Any,Any,Any,0.85
Canine Distemper,Anorexia,Any Stage,0.8,Medium,1.5,Any,Any,Any,0.88
Canine Distemper,Coughing,Early,0.9,Medium,1.6,Any,Any,Any,0.88
Canine Distemper,Dehydration,Late,0.85,High,1.7,Any,Any,Any,0.88
Canine Distemper,Depression,Any Stage,0.7,Low,1.3,Any,Any,Any,0.88
Canine Distemper,Diarrhea,Any Stage,0.8,Medium,1.5,Any,Any,Any,0.88
Canine Distemper,Eye Discharge,Early,0.9,Medium,1.6,Any,Any,Any,0.88
Canine Distemper,Nasal Discharge,Early,0.9,Medium,1.6,Any,Any,Any,0.88
Canine Distemper,Encephalitis,Late,0.6,High,1.4,Any,Any,Any,0.88
Canine Distemper,Fever,Early,1.0,Medium,1.7,Any,Any,Any,0.88
Canine Distemper,Hardened Footpads,Late,0.6,High,1.4,Any,Any,Any,0.88
Canine Distemper,Lethargy,Any Stage,0.8,Medium,1.5,Any,Any,Any,0.88
