Abdominal Discomfort,Abdominal Enlargement,Abdominal Pain,Abnormal Breeding Behavior,Abnormal Posture,Abscesses,Aggression,Anemia,Anxiety,Arched Back,Back Pain,Back Stiffness,Bad Breath,Behavioral Changes,Bleeding,Bleeding Gums,Blindness,Bloating,Blood in Urine,Bluish Gums,Breathing Difficulty,Bruising,Bunny Hopping,Cataracts,Circling,Collapse,Confusion,Confusion Post-Seizure,Coordination Issues,Coughing,Dandruff,Dark Stool,Dark Urine,Decreased Appetite,Dehydration,Depression,Diarrhea,Difficulty Breathing,Difficulty Chewing,Difficulty Eating,Difficulty Moving,Difficulty Moving Elbow,Difficulty Opening Mouth,Difficulty Rising,Difficulty Running,Difficulty Standing,Difficulty Swallowing,Difficulty Urinating,Difficulty Walking,Discolored Teeth,Disorientation,Distended Abdomen,Draining Wounds,Drooling,Dropping Food,Dull Coat,Ear Discharge,Ear Odor,Ear Scratching,Edema (Swelling),Enlarged Jaw,Enlarged Lymph Nodes,Enlarged Testicles,Excessive Bleeding,Excessive Bleeding from Minor Wounds,Excessive Crying,Excessive Drooling,Excessive Scratching,Exercise Intolerance,Eye Discharge,Eye Inflammation,Facial Abnormalities,Facial Swelling,Fainting,Falling Over,Fatigue,Fearfulness,Fever,Flea Dirt,Fleas,Foamy Urine,Foot Dragging,Forelimb Lameness,Frequent Urination,Gagging,Hair Loss,Head Shaking,Head Tilt,Head Tremors,Hind Limb Atrophy,Hindlimb Lameness,Hip Pain,Hoarse Bark,Hunched Back,Hypothermia,Incontinence,Increased Appetite,Increased Thirst,Increased Urination,Inflamed Gums,Inflammation,Intermittent Lameness,Intermittent Limping,Irritability,Itching,Jaundice,Jaw Pain,Joint Pain,Joint Swelling,Lameness,Lethargy,Light Sensitivity,Limb Swelling,Loose Teeth,Loss of Appetite,Loss of Consciousness,Loss of Coordination,Loss of Muscle Mass,Loss of Reflexes,Mouth Ulcers,Muscle Atrophy,Muscle Pain,Muscle Paralysis,Muscle Swelling,Muscle Twitching,Muscle Weakness,Nasal Discharge,Nausea,Neck Pain,Neurological Signs,Noisy Breathing,Nosebleeds,Oral Pain,Pain,Pain in Lower Back,Pale Gums,Panting,Paralysis,Pawing at Face,Petechiae,Petechiae on Skin,Poor Growth,Pot-Belly,Prolonged Bleeding After Surgery or Injury,Proteinuria (Foamy Urine),Rapid Breathing,Rapid Heart Rate,Recurrent Infections,Red Gums,Redness,Reduced Activity,Reduced Appetite,Reduced Flexibility,Reluctance to Chew,Reluctance to Jump,Reluctance to Move,Restlessness,Retching,Scooting,Scratching at Air,Scratching at Neck,Seizures,Sensitivity to Touch,Sensory Deficits,Shifting Leg Lameness,Shivering,Skin Infections,Skin Inflammation,Skin Irritation,Skin Scaling,Skin Thickening,Skipping Gait,Sneezing,Sores,Sound Sensitivity,Spontaneous Bleeding,Staggering,Stiffness,Stunted Growth,Sudden Carrying of Leg,Sunken Eyes,Swelling,Swelling (Edema) in Limbs or Abdomen,Swelling Below Eye,Swelling at Infection Site,Swollen Gums,Swollen Joints,Swollen Lymph Nodes,Tail Paralysis,Thirst,Ticks,Tremors,Unsteadiness,Unsteady Gait,Unusual Behavior,Unusual Eye Movements,Vaginal Discharge,Visible Mites,Vocalization When Touched,Voice Changes,Vomiting,Waddling Gait,Weakness,Weight Gain,Weight Loss,Wide-Legged Stance,Wobbling,Wobbly Gait,Worms in Stool,Worn Toenails,Yellow Gums,Yellow Skin,Illness,FC_Confidence,GB_Confidence,Symptom_Match_Ratio
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.73,0.9067,0.8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.5,0.8556,0.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.71,0.9701,0.8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.52,0.8423,0.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.73,0.9067,0.8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.54,0.9639,0.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.54,0.9639,0.6
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.33,0.8046,0.4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.69,0.8886,0.8
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canine Enteric Coronavirus,0.17,0.2456,0.2
