Test Case ID,Illness,Abdominal Pain,Bad Odor,Coughing,Diarrhea,Draining wounds,Eye discharge,Fever,Foul odor from wound,Frequent urination,Jaundice,Lethargy,Loss of appetite,Mucus in stool,Nasal discharge,Pain,Pain when touched,Pus or discharge,Skin lumps,Skin wounds,Sneezing,Swelling,Swollen joints,Vomiting,Weakness,Weight loss,FC_Confidence,GB_Confidence,Symptom_Match_Ratio
Anaerobic Bacterial Infections in Cats_1,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_2,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_3,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_4,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_5,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.67,0.9866,0.857142857
Anaerobic Bacterial Infections in Cats_6,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_7,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_8,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_9,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_10,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_11,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_12,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
Anaerobic Bacterial Infections in Cats_13,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.67,0.9819,0.857142857
Anaerobic Bacterial Infections in Cats_14,Anaerobic Bacterial Infections in Cats,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0.8,0.9896,1.0
