Test Case ID,Illness,Abdominal Pain,Bad Breath,Blood in urine,Dehydration,Fever,Frequent urination,Increased thirst,Lethargy,Licking genitals,Painful urination,Poor coat,Vomiting,Weight loss,FC_Confidence,GB_Confidence,Symptom_Match_Ratio
Chronic Renal Failure in Cats_1,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_2,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_3,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_4,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,0,0,0.56,0.9511,0.6
Chronic Renal Failure in Cats_5,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_6,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,1,0.77,0.3435,0.8
Chronic Renal Failure in Cats_7,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,1,0.77,0.3435,0.8
Chronic Renal Failure in Cats_8,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_9,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_10,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_11,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_12,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_13,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,1,0.77,0.3435,0.8
Chronic Renal Failure in Cats_14,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_15,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_16,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,1,0.77,0.3435,0.8
Chronic Renal Failure in Cats_17,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_18,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_19,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,0,1,0.73,0.9287,0.8
Chronic Renal Failure in Cats_20,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,1,0.77,0.3435,0.8
Chronic Renal Failure in Cats_21,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_22,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_23,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,1,0.77,0.3435,0.8
Chronic Renal Failure in Cats_24,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_25,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,0,0.6,0.488,0.6
Chronic Renal Failure in Cats_26,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,0,1,1,0.77,0.3435,0.8
Chronic Renal Failure in Cats_27,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_28,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
Chronic Renal Failure in Cats_29,Chronic Renal Failure in Cats,0,0,0,0,0,1,1,0,0,0,1,1,1,0.9,0.9826,1.0
