Test Case ID,Illness,Abdominal Bloating,Abdominal Pain,Aggression,Anasarca,Anorexia,Anxiety,Apathy,Ataxia,Biting at Exposure Site,Blindness,Bloody Diarrhea,Breathing Difficulty,Bruised Nose and Mouth,Circling,Coma,Confusion,Convulsions,Coughing,Decreased Appetite,Decreased Suckling,Dehydration,Depression,Diarrhea,Disorientation,Drooping Eyelid,Dysphagia,Encephalitis,Enlarged Lymph Nodes,Enlarged Spleen,Enlarged Tonsils,Excessive Crying,Excessive Drooling,Excessive Salivation,Eye Discharge,Eye Inflammation,Facial Itching,Facial Paralysis,Fearfulness,Fever,Gagging,Genital Lesions,Gum Hemorrhages,Hallucinations,Hardened Footpads,Head Pressing,Head Tilt,Hemorrhagic Diarrhea,Hyperesthesia,Hydrophobia,Hypersalivation,Hypothermia,Intense Itching,Irritability,Itching,Jaundice,Lethargy,Light Sensitivity,Listlessness,Loss of Appetite,Low White Blood Cell Count,Miscarriage,Mucus in Stool,Muscle Paralysis,Muscle Spasms,Muscle Twitching,Myocarditis,Nasal Discharge,Orange-Tinted Stool,Paralysis,Petechiae on Gums,Petechiae on Skin,Photophobia,Pneumonia,Pruritus,Profuse Vomiting,Purulent Nasal Discharge,Rashes,Red Spots on Skin,Restlessness,Retching,Runny Eyes,Runny Nose,Seizures,Severe Depression,Severe Diarrhea,Severe Vomiting,Severe White Blood Cell Reduction,Sneezing,Sound Sensitivity,Spontaneous Bleeding,Staggering,Stillbirths,Sudden Diarrhea,Swallowing Difficulty,Swollen Head,Swollen Neck,Swollen Trunk,Thirst,Tremors,Uncharacteristic Aggression,Uncharacteristic Friendliness,Vocalization,Vomiting,Wandering Aimlessly,Watery Eye Discharge,Watery Nasal Discharge,Weakness,Weight Loss,Yellow Ears,Yellow Gums,Yellow Skin
Canine Coronavirus_1,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canine Coronavirus_2,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canine Coronavirus_3,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canine Coronavirus_4,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canine Coronavirus_5,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canine Coronavirus_6,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canine Coronavirus_7,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canine Coronavirus_8,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canine Coronavirus_9,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Canine Coronavirus_10,Canine Coronavirus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
