Abdominal Pain,Aggression,Bleeding Disorders,Bloody Stool,Chest Pain,Congested Lungs,Coughing,Dehydration,Depression,Diarrhea,Difficulty Breathing,Difficulty Swallowing,Drooling,Eye Discharge,Fever,Forceful Cough,Gagging,Hydrophobia,Itching,Jaundice,Lack of Coordination,Lethargy,Loss of Appetite,Muscle Spasms,Nasal Discharge,Pale Gums,Paralysis,Runny Nose,Seizures,Sensitivity to Light,Sneezing,Tender Abdomen,Thick Substance in Eyes,Vomiting,Weakness,Weight Loss,Severity,Priority,Illness,Confidence,Abdominal Pain_Stage,Aggression_Stage,Bleeding Disorders_Stage,Bloody Stool_Stage,Chest Pain_Stage,Congested Lungs_Stage,Coughing_Stage,Dehydration_Stage,Depression_Stage,Diarrhea_Stage,Difficulty Breathing_Stage,Difficulty Swallowing_Stage,Drooling_Stage,Eye Discharge_Stage,Fever_Stage,Forceful Cough_Stage,Gagging_Stage,Hydrophobia_Stage,Itching_Stage,Jaundice_Stage,Lack of Coordination_Stage,Lethargy_Stage,Loss of Appetite_Stage,Muscle Spasms_Stage,Nasal Discharge_Stage,Pale Gums_Stage,Paralysis_Stage,Runny Nose_Stage,Seizures_Stage,Sensitivity to Light_Stage,Sneezing_Stage,Tender Abdomen_Stage,Thick Substance in Eyes_Stage,Vomiting_Stage,Weakness_Stage,Weight Loss_Stage,Corneal Edema,Corneal Edema_Stage
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Low,1.7,Canine Coronavirus,0.9,Any Stage,None,None,None,None,None,None,Late,None,None,None,None,None,None,Early,None,None,None,None,None,None,Any Stage,Any Stage,None,None,None,None,None,Late,None,None,None,None,Any Stage,None,None,,
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,High,1.7,Canine Coronavirus,0.79,None,None,None,Any Stage,None,None,None,None,None,Any Stage,None,None,None,None,None,None,None,None,None,None,None,None,Any Stage,None,None,None,None,None,None,None,None,None,None,Any Stage,None,None,,
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Medium,1.6,Canine Coronavirus,0.85,None,None,None,Any Stage,None,None,None,Late,None,Any Stage,None,None,None,None,Early,None,None,None,None,None,None,None,Any Stage,None,None,None,None,None,Late,None,None,None,None,Any Stage,None,None,,
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Medium,1.6,Canine Coronavirus,0.84,None,None,None,Any Stage,None,None,None,None,None,Any Stage,None,None,None,None,Early,None,None,None,None,None,None,Any Stage,Any Stage,None,None,None,None,None,Late,None,None,None,None,Any Stage,None,None,,
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Medium,1.4,Canine Coronavirus,0.82,Any Stage,None,None,None,None,None,None,None,None,Any Stage,None,None,None,None,Early,None,None,None,None,None,None,Any Stage,None,None,None,None,None,None,Late,None,None,None,None,Any Stage,None,None,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Medium,1.7,Canine Coronavirus,0.85,None,None,None,Any Stage,None,None,None,None,None,None,None,None,None,None,Early,None,None,None,None,None,None,None,Any Stage,None,None,None,None,None,None,None,None,None,None,Any Stage,None,None,,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,High,1.5,Canine Coronavirus,0.79,None,None,None,None,None,None,None,None,None,Any Stage,None,None,None,None,None,None,None,None,None,None,None,Any Stage,Any Stage,None,None,None,None,None,Late,None,None,None,None,Any Stage,None,None,,
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Medium,1.6,Canine Coronavirus,0.91,None,None,None,Any Stage,None,None,None,None,None,Any Stage,None,None,None,None,Early,None,None,None,None,None,None,Any Stage,Any Stage,None,None,None,None,None,None,None,None,None,None,Any Stage,None,None,,
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Medium,1.4,Canine Coronavirus,0.86,Any Stage,None,None,Any Stage,None,None,None,None,None,Any Stage,None,None,None,None,Early,None,None,None,None,None,None,Any Stage,Any Stage,None,None,None,None,None,Late,None,None,None,None,Any Stage,None,None,,
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,High,1.7,Canine Coronavirus,0.94,None,None,None,Any Stage,None,None,None,None,None,Any Stage,None,None,None,None,None,None,None,None,None,None,None,Any Stage,Any Stage,None,None,None,None,None,None,None,None,None,None,Any Stage,None,None,,
